energy_keV,reachable,holders,elements,focal_length_mm,image_distance_mm,z_mm,z_margin_mm
2.100,True,9,1,1295.004076,1474.745835,125.254165,174.745835
2.110,True,9,1,1307.366814,1491.122775,108.877225,191.122775
2.120,True,9,1,1319.788281,1507.636981,92.363019,207.636981
2.130,True,9,1,1332.268479,1524.289956,75.710044,224.289956
2.140,True,9,1,1344.807408,1541.083238,58.916762,241.083238
2.150,True,9,1,1357.405066,1558.018400,41.981600,258.018400
2.160,True,9,1,1370.061455,1575.097053,24.902947,275.097053
2.170,True,9,1,1382.776575,1592.320845,7.679155,292.320845
2.180,True,9,1,1395.550425,1609.691468,-9.691468,290.308532
2.190,True,9,1,1408.383005,1627.210649,-27.210649,272.789351
2.200,True,9,1,1421.274315,1644.880162,-44.880162,255.119838
2.210,True,9,1,1434.224356,1662.701823,-62.701823,237.298177
2.220,True,9,1,1447.233127,1680.677494,-80.677494,219.322506
2.230,True,9,1,1460.300628,1698.809083,-98.809083,201.190917
2.240,True,9,1,1473.426860,1717.098548,-117.098548,182.901452
2.250,True,9,1,1486.611822,1735.547897,-135.547897,164.452103
2.260,True,9,1,1499.855515,1754.159189,-154.159189,145.840811
2.270,True,9,1,1513.157938,1772.934539,-172.934539,127.065461
2.280,True,9,1,1526.519091,1791.876117,-191.876117,108.123883
2.290,True,9,1,1539.938974,1810.986151,-210.986151,89.013849
2.300,True,9,1,1553.417588,1830.266930,-230.266930,69.733070
2.310,True,9,1,1566.954932,1849.720805,-249.720805,50.279195
2.320,True,9,1,1580.551007,1869.350192,-269.350192,30.649808
2.330,True,9,1,1594.205812,1889.157576,-289.157576,10.842424
2.340,False,,,,,,
2.350,False,,,,,,
2.360,True,9 11,2,1168.230435,1310.072602,289.927398,10.072602
2.370,True,9 11,2,1178.151668,1322.752934,277.247066,22.752934
2.380,True,9 11,2,1188.114851,1335.521206,264.478794,35.521206
2.390,True,9 11,2,1198.119984,1348.378132,251.621868,48.378132
2.400,True,9 11,2,1208.167068,1361.324444,238.675556,61.324444
2.410,True,9 11,2,1218.256102,1374.360882,225.639118,74.360882
2.420,True,9 11,2,1228.387087,1387.488203,212.511797,87.488203
2.430,True,9 11,2,1238.560021,1400.707178,199.292822,100.707178
2.440,True,9 11,2,1248.774906,1414.018589,185.981411,114.018589
2.450,True,9 11,2,1259.031741,1427.423236,172.576764,127.423236
2.460,True,9 11,2,1269.330526,1440.921932,159.078068,140.921932
2.470,True,9 11,2,1279.671262,1454.515506,145.484494,154.515506
2.480,True,9 11,2,1290.053947,1468.204802,131.795198,168.204802
2.490,True,9 11,2,1300.478583,1481.990681,118.009319,181.990681
2.500,True,9 11,2,1310.945170,1495.874019,104.125981,195.874019
2.510,True,9 11,2,1321.453706,1509.855712,90.144288,209.855712
2.520,True,9 11,2,1332.004193,1523.936670,76.063330,223.936670
2.530,True,9 11,2,1342.596630,1538.117823,61.882177,238.117823
2.540,True,9 11,2,1353.231017,1552.400118,47.599882,252.400118
2.550,True,9 11,2,1363.907354,1566.784523,33.215477,266.784523
2.560,True,9 11,2,1374.625642,1581.272023,18.727977,281.272023
2.570,True,9 11,2,1385.385880,1595.863625,4.136375,295.863625
2.580,True,9 11,2,1396.188068,1610.560354,-10.560354,289.439646
2.590,True,9 11,2,1407.032207,1625.363258,-25.363258,274.636742
2.600,True,9 11,2,1417.918295,1640.273407,-40.273407,259.726593
2.610,True,9 11,2,1428.846334,1655.291892,-55.291892,244.708108
2.620,True,9 11,2,1439.816324,1670.419828,-70.419828,229.580172
2.630,True,9 11,2,1450.828263,1685.658352,-85.658352,214.341648
2.640,True,9 11,2,1461.882153,1701.008628,-101.008628,198.991372
2.650,True,9 11,2,1472.977993,1716.471843,-116.471843,183.528157
2.660,True,9 11,2,1484.115783,1732.049209,-132.049209,167.950791
2.670,True,9 11,2,1495.295523,1747.741968,-147.741968,152.258032
2.680,True,9 11,2,1506.517214,1763.551387,-163.551387,136.448613
2.690,True,9 11,2,1517.780855,1779.478760,-179.478760,120.521240
2.700,True,9 11,2,1529.086446,1795.525414,-195.525414,104.474586
2.710,True,9 11,2,1540.433987,1811.692702,-211.692702,88.307298
2.720,True,9 11,2,1551.823479,1827.982010,-227.982010,72.017990
2.730,True,9 11,2,1563.254921,1844.394757,-244.394757,55.605243
2.740,True,9 11,2,1574.728313,1860.932393,-260.932393,39.067607
2.750,True,9 11,2,1586.243655,1877.596403,-277.596403,22.403597
2.760,True,9 11,2,1597.800948,1894.388308,-294.388308,5.611692
2.770,False,,,,,,
2.780,False,,,,,,
2.790,False,,,,,,
2.800,False,,,,,,
2.810,False,,,,,,
2.820,False,,,,,,
2.830,False,,,,,,
2.840,False,,,,,,
2.850,False,,,,,,
2.860,False,,,,,,
2.870,False,,,,,,
2.880,False,,,,,,
2.890,False,,,,,,
2.900,False,,,,,,
2.910,False,,,,,,
2.920,False,,,,,,
2.930,False,,,,,,
2.940,False,,,,,,
2.950,False,,,,,,
2.960,False,,,,,,
2.970,False,,,,,,
2.980,False,,,,,,
2.990,False,,,,,,
3.000,False,,,,,,
3.010,False,,,,,,
3.020,False,,,,,,
3.030,False,,,,,,
3.040,False,,,,,,
3.050,False,,,,,,
3.060,False,,,,,,
3.070,False,,,,,,
3.080,False,,,,,,
3.090,False,,,,,,
3.100,False,,,,,,
3.110,False,,,,,,
3.120,False,,,,,,
3.130,False,,,,,,
3.140,False,,,,,,
3.150,False,,,,,,
3.160,False,,,,,,
3.170,False,,,,,,
3.180,False,,,,,,
3.190,False,,,,,,
3.200,False,,,,,,
3.210,False,,,,,,
3.220,False,,,,,,
3.230,False,,,,,,
3.240,False,,,,,,
3.250,False,,,,,,
3.260,False,,,,,,
3.270,False,,,,,,
3.280,False,,,,,,
3.290,False,,,,,,
3.300,False,,,,,,
3.310,False,,,,,,
3.320,False,,,,,,
3.330,False,,,,,,
3.340,False,,,,,,
3.350,False,,,,,,
3.360,False,,,,,,
3.370,False,,,,,,
3.380,False,,,,,,
3.390,False,,,,,,
3.400,False,,,,,,
3.410,False,,,,,,
3.420,False,,,,,,
3.430,False,,,,,,
3.440,False,,,,,,
3.450,False,,,,,,
3.460,False,,,,,,
3.470,False,,,,,,
3.480,False,,,,,,
3.490,False,,,,,,
3.500,False,,,,,,
3.510,False,,,,,,
3.520,False,,,,,,
3.530,False,,,,,,
3.540,False,,,,,,
3.550,False,,,,,,
3.560,True,10,8,1163.007629,1303.410942,296.589058,3.410942
3.570,True,10,8,1169.550556,1311.757893,288.242107,11.757893
3.580,True,10,8,1176.111837,1320.143049,279.856951,20.143049
3.590,True,10,8,1182.691471,1328.566616,271.433384,28.566616
3.600,True,10,8,1189.289458,1337.028797,262.971203,37.028797
3.610,True,10,8,1195.905798,1345.529802,254.470198,45.529802
3.620,True,10,8,1202.540492,1354.069842,245.930158,54.069842
3.630,True,10,8,1209.193538,1362.649129,237.350871,62.649129
3.640,True,10,8,1215.864938,1371.267880,228.732120,71.267880
3.650,True,10,8,1222.554691,1379.926314,220.073686,79.926314
3.660,True,10,8,1229.262798,1388.624651,211.375349,88.624651
3.670,True,10,8,1235.989258,1397.363115,202.636885,97.363115
3.680,True,10,8,1242.734070,1406.141933,193.858067,106.141933
3.690,True,10,8,1249.497237,1414.961334,185.038666,114.961334
3.700,True,10,8,1256.278756,1423.821550,176.178450,123.821550
3.710,True,10,8,1263.078629,1432.722816,167.277184,132.722816
3.720,True,10,8,1269.896854,1441.665370,158.334630,141.665370
3.730,True,10,8,1276.733433,1450.649453,149.350547,150.649453
3.740,True,10,8,1283.588366,1459.675308,140.324692,159.675308
3.750,True,10,8,1290.461651,1468.743183,131.256817,168.743183
3.760,True,10,8,1297.353290,1477.853328,122.146672,177.853328
3.770,True,10,8,1304.263282,1487.005995,112.994005,187.005995
3.780,True,10,8,1311.191627,1496.201442,103.798558,196.201442
3.790,True,10,8,1318.138326,1505.439927,94.560073,205.439927
3.800,True,10,8,1325.103377,1514.721714,85.278286,214.721714
3.810,True,10,8,1332.086782,1524.047069,75.952931,224.047069
3.820,True,10,8,1339.088540,1533.416262,66.583738,233.416262
3.830,True,10,8,1346.108652,1542.829567,57.170433,242.829567
3.840,True,10,8,1353.147116,1552.287260,47.712740,252.287260
3.850,True,10,8,1360.203934,1561.789622,38.210378,261.789622
3.860,True,10,8,1367.279105,1571.336938,28.663062,271.336938
3.870,True,10,8,1374.372630,1580.929495,19.070505,280.929495
3.880,True,10,8,1381.484507,1590.567585,9.432415,290.567585
3.890,True,10,8,1388.614738,1600.251505,-0.251505,299.748495
3.900,True,10,8,1395.763322,1609.981554,-9.981554,290.018446
3.910,True,10,8,1402.930259,1619.758036,-19.758036,280.241964
3.920,True,10,8,1410.115550,1629.581259,-29.581259,270.418741
3.930,True,10,8,1417.319193,1639.451535,-39.451535,260.548465
3.940,True,10,8,1424.541190,1649.369182,-49.369182,250.630818
3.950,True,10,8,1431.781541,1659.334520,-59.334520,240.665480
3.960,True,10,8,1439.040244,1669.347874,-69.347874,230.652126
3.970,True,10,8,1446.317301,1679.409575,-79.409575,220.590425
3.980,True,1,1,1162.890168,1303.261229,296.738771,3.261229
3.990,True,1,1,1168.741179,1310.724556,289.275444,10.724556
4.000,True,1,1,1174.606872,1318.218428,281.781572,18.218428
4.010,True,1,1,1180.487248,1325.742989,274.257011,25.742989
4.020,True,1,1,1186.382306,1333.298388,266.701612,33.298388
4.030,True,1,1,1192.292047,1340.884771,259.115229,40.884771
4.040,True,1,1,1198.216470,1348.502291,251.497709,48.502291
4.050,True,1,1,1204.155576,1356.151096,243.848904,56.151096
4.060,True,1,1,1210.109365,1363.831342,236.168658,63.831342
4.070,True,1,1,1216.077836,1371.543183,228.456817,71.543183
4.080,True,1,1,1222.060990,1379.286775,220.713225,79.286775
4.090,True,1,1,1228.058826,1387.062277,212.937723,87.062277
4.100,True,1,1,1234.071345,1394.869848,205.130152,94.869848
4.110,True,1,1,1240.098546,1402.709651,197.290349,102.709651
4.120,True,1,1,1246.140430,1410.581848,189.418152,110.581848
4.130,True,1,1,1252.196997,1418.486604,181.513396,118.486604
4.140,True,1,1,1258.268246,1426.424087,173.575913,126.424087
4.150,True,1,1,1264.354178,1434.394466,165.605534,134.394466
