energy_min_keV,energy_max_keV,holders
2.100000000,2.335435773,9
2.335435773,2.352007020,unreachable
2.352007020,2.763324872,9 11
2.763324872,3.555900375,unreachable
3.555900375,3.975617480,10
3.975617480,4.670871546,1
4.670871546,5.222193145,1 9
5.222193145,5.333850562,1 9 11
5.333850562,5.622372159,1 10
5.622372159,6.605609888,5
6.605609888,6.885971466,5 9
6.885971466,7.951234959,1 5
7.951234959,9.341743092,4
9.341743092,10.444386291,1 4
10.444386291,11.244744317,4 5
11.244744317,13.211219776,2
13.211219776,14.012614638,1 2
14.012614638,14.770592743,2 5
14.770592743,15.902469919,2 4
15.902469919,18.683486183,3
18.683486183,19.258496747,1 3
19.258496747,19.816829665,3 5
19.816829665,20.888772581,3 4
20.888772581,22.882503883,2 3
22.882503883,23.354357729,1 2 3
23.354357729,23.816865158,2 3 5
23.816865158,24.000000000,2 3 4
