energy_keV,reachable,holders,elements,focal_length_mm,image_distance_mm,z_mm,z_margin_mm
2.100,True,9,1,1295.004076,1295.004076,54.995924,195.004076
2.110,True,9,1,1307.366814,1307.366814,42.633186,207.366814
2.120,True,9,1,1319.788281,1319.788281,30.211719,219.788281
2.130,True,9,1,1332.268479,1332.268479,17.731521,232.268479
2.140,True,9,1,1344.807408,1344.807408,5.192592,244.807408
2.150,True,9,1,1357.405066,1357.405066,-7.405066,242.594934
2.160,True,9,1,1370.061455,1370.061455,-20.061455,229.938545
2.170,True,9,1,1382.776575,1382.776575,-32.776575,217.223425
2.180,True,9,1,1395.550425,1395.550425,-45.550425,204.449575
2.190,True,9,1,1408.383005,1408.383005,-58.383005,191.616995
2.200,True,9,1,1421.274315,1421.274315,-71.274315,178.725685
2.210,True,9,1,1434.224356,1434.224356,-84.224356,165.775644
2.220,True,9,1,1447.233127,1447.233127,-97.233127,152.766873
2.230,True,9,1,1460.300628,1460.300628,-110.300628,139.699372
2.240,True,9,1,1473.426860,1473.426860,-123.426860,126.573140
2.250,True,9,1,1486.611822,1486.611822,-136.611822,113.388178
2.260,True,9,1,1499.855515,1499.855515,-149.855515,100.144485
2.270,True,9,1,1513.157938,1513.157938,-163.157938,86.842062
2.280,True,9,1,1526.519091,1526.519091,-176.519091,73.480909
2.290,True,9,1,1539.938974,1539.938974,-189.938974,60.061026
2.300,True,9,1,1553.417588,1553.417588,-203.417588,46.582412
2.310,True,9,1,1566.954932,1566.954932,-216.954932,33.045068
2.320,True,9,1,1580.551007,1580.551007,-230.551007,19.448993
2.330,True,9,1,1594.205812,1594.205812,-244.205812,5.794188
2.340,True,9 11,2,1148.513819,1148.513819,201.486181,48.513819
2.350,True,9 11,2,1158.351152,1158.351152,191.648848,58.351152
2.360,True,9 11,2,1168.230435,1168.230435,181.769565,68.230435
2.370,True,9 11,2,1178.151668,1178.151668,171.848332,78.151668
2.380,True,9 11,2,1188.114851,1188.114851,161.885149,88.114851
2.390,True,9 11,2,1198.119984,1198.119984,151.880016,98.119984
2.400,True,9 11,2,1208.167068,1208.167068,141.832932,108.167068
2.410,True,9 11,2,1218.256102,1218.256102,131.743898,118.256102
2.420,True,9 11,2,1228.387087,1228.387087,121.612913,128.387087
2.430,True,9 11,2,1238.560021,1238.560021,111.439979,138.560021
2.440,True,9 11,2,1248.774906,1248.774906,101.225094,148.774906
2.450,True,9 11,2,1259.031741,1259.031741,90.968259,159.031741
2.460,True,9 11,2,1269.330526,1269.330526,80.669474,169.330526
2.470,True,9 11,2,1279.671262,1279.671262,70.328738,179.671262
2.480,True,9 11,2,1290.053947,1290.053947,59.946053,190.053947
2.490,True,9 11,2,1300.478583,1300.478583,49.521417,200.478583
2.500,True,9 11,2,1310.945170,1310.945170,39.054830,210.945170
2.510,True,9 11,2,1321.453706,1321.453706,28.546294,221.453706
2.520,True,9 11,2,1332.004193,1332.004193,17.995807,232.004193
2.530,True,9 11,2,1342.596630,1342.596630,7.403370,242.596630
2.540,True,9 11,2,1353.231017,1353.231017,-3.231017,246.768983
2.550,True,9 11,2,1363.907354,1363.907354,-13.907354,236.092646
2.560,True,9 11,2,1374.625642,1374.625642,-24.625642,225.374358
2.570,True,9 11,2,1385.385880,1385.385880,-35.385880,214.614120
2.580,True,9 11,2,1396.188068,1396.188068,-46.188068,203.811932
2.590,True,9 11,2,1407.032207,1407.032207,-57.032207,192.967793
2.600,True,9 11,2,1417.918295,1417.918295,-67.918295,182.081705
2.610,True,9 11,2,1428.846334,1428.846334,-78.846334,171.153666
2.620,True,9 11,2,1439.816324,1439.816324,-89.816324,160.183676
2.630,True,9 11,2,1450.828263,1450.828263,-100.828263,149.171737
2.640,True,9 11,2,1461.882153,1461.882153,-111.882153,138.117847
2.650,True,9 11,2,1472.977993,1472.977993,-122.977993,127.022007
2.660,True,9 11,2,1484.115783,1484.115783,-134.115783,115.884217
2.670,True,9 11,2,1495.295523,1495.295523,-145.295523,104.704477
2.680,True,9 11,2,1506.517214,1506.517214,-156.517214,93.482786
2.690,True,9 11,2,1517.780855,1517.780855,-167.780855,82.219145
2.700,True,9 11,2,1529.086446,1529.086446,-179.086446,70.913554
2.710,True,9 11,2,1540.433987,1540.433987,-190.433987,59.566013
2.720,True,9 11,2,1551.823479,1551.823479,-201.823479,48.176521
2.730,True,9 11,2,1563.254921,1563.254921,-213.254921,36.745079
2.740,True,9 11,2,1574.728313,1574.728313,-224.728313,25.271687
2.750,True,9 11,2,1586.243655,1586.243655,-236.243655,13.756345
2.760,True,9 11,2,1597.800948,1597.800948,-247.800948,2.199052
2.770,False,,,,,,
2.780,False,,,,,,
2.790,False,,,,,,
2.800,False,,,,,,
2.810,False,,,,,,
2.820,False,,,,,,
2.830,False,,,,,,
2.840,False,,,,,,
2.850,False,,,,,,
2.860,False,,,,,,
2.870,False,,,,,,
2.880,False,,,,,,
2.890,False,,,,,,
2.900,False,,,,,,
2.910,False,,,,,,
2.920,False,,,,,,
2.930,False,,,,,,
2.940,False,,,,,,
2.950,False,,,,,,
2.960,False,,,,,,
2.970,False,,,,,,
2.980,False,,,,,,
2.990,False,,,,,,
3.000,False,,,,,,
3.010,False,,,,,,
3.020,False,,,,,,
3.030,False,,,,,,
3.040,False,,,,,,
3.050,False,,,,,,
3.060,False,,,,,,
3.070,False,,,,,,
3.080,False,,,,,,
3.090,False,,,,,,
3.100,False,,,,,,
3.110,False,,,,,,
3.120,False,,,,,,
3.130,False,,,,,,
3.140,False,,,,,,
3.150,False,,,,,,
3.160,False,,,,,,
3.170,False,,,,,,
3.180,False,,,,,,
3.190,False,,,,,,
3.200,False,,,,,,
3.210,False,,,,,,
3.220,False,,,,,,
3.230,False,,,,,,
3.240,False,,,,,,
3.250,False,,,,,,
3.260,False,,,,,,
3.270,False,,,,,,
3.280,False,,,,,,
3.290,False,,,,,,
3.300,False,,,,,,
3.310,False,,,,,,
3.320,False,,,,,,
3.330,False,,,,,,
3.340,False,,,,,,
3.350,False,,,,,,
3.360,False,,,,,,
3.370,False,,,,,,
3.380,False,,,,,,
3.390,False,,,,,,
3.400,False,,,,,,
3.410,False,,,,,,
3.420,False,,,,,,
3.430,False,,,,,,
3.440,False,,,,,,
3.450,False,,,,,,
3.460,False,,,,,,
3.470,True,10,8,1104.947178,1104.947178,245.052822,4.947178
3.480,True,10,8,1111.324927,1111.324927,238.675073,11.324927
3.490,True,10,8,1117.721028,1117.721028,232.278972,17.721028
3.500,True,10,8,1124.135483,1124.135483,225.864517,24.135483
3.510,True,10,8,1130.568291,1130.568291,219.431709,30.568291
3.520,True,10,8,1137.019452,1137.019452,212.980548,37.019452
3.530,True,10,8,1143.488966,1143.488966,206.511034,43.488966
3.540,True,10,8,1149.976834,1149.976834,200.023166,49.976834
3.550,True,10,8,1156.483055,1156.483055,193.516945,56.483055
