energy_min_keV,energy_max_keV,holders
2.100000000,2.334230387,9
2.334230387,2.761898640,9 11
2.761898640,3.462223172,unreachable
3.462223172,3.870883183,10
3.870883183,4.668460773,1
4.668460773,5.219497820,1 9
5.219497820,5.474255496,1 10
5.474255496,6.602200541,5
6.602200541,6.704566344,5 9
6.704566344,7.741766367,1 5
7.741766367,9.336921547,4
9.336921547,10.438995639,1 4
10.438995639,10.948510993,4 5
10.948510993,13.204401082,2
13.204401082,14.005382320,1 2
14.005382320,14.762969211,2 5
14.762969211,15.483532733,2 4
15.483532733,18.673843093,3
18.673843093,19.248556877,1 3
19.248556877,19.806601623,3 5
19.806601623,20.877991279,3 4
20.877991279,22.870693557,2 3
22.870693557,23.342303866,1 2 3
23.342303866,23.804572581,2 3 5
23.804572581,24.000000000,2 3 4
